"계정항목별",2013.1/4,2013.2/4,2013.3/4,2013.4/4,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4
"농림어업",5227.4,7805.2,8270.1,10394.0,5623.2,8252.5,8588.7,10842.9,6132.8,8081.4,8644.6,10366.4,5742.0,7861.0,7971.6,9778.6,5582.5,8140.9,8194.6,10141.8,5990.3,8192.7,7875.6,10050.6,6392.9,8404.5,8329.9,10245.7,6249.9,7684.9,7587.2,9919.8,6451.7,7572.4,8171.7,10438.5,6458.2,7638.5,7933.8,10191.9
"재배업",2888.5,4931.7,5220.4,6896.8,3274.3,5206.3,5384.6,7132.6,3506.6,5113.8,5486.7,6896.4,3233.3,5067.0,5091.7,6565.9,3377.8,5437.4,5213.2,6830.4,3448.6,5299.2,4930.2,6330.2,3768.5,5264.1,5204.8,6429.4,3698.7,4599.0,4537.7,6061.6,3805.2,4499.0,5011.7,6478.0,3829.7,4493.3,4778.8,6343.5
"축산업",1882.9,1716.0,1770.6,1675.6,1738.3,1626.9,1731.8,1668.5,1726.7,1613.6,1770.4,1712.5,1703.4,1637.7,1721.5,1716.2,1401.4,1556.3,1652.8,1745.8,1555.1,1662.3,1673.6,2098.2,1659.9,1850.4,1841.9,2211.0,1697.8,1851.4,1849.5,2246.1,1641.4,1840.9,1861.4,2281.3,1670.3,1870.1,1897.4,2306.3
"임업",163.7,613.2,699.2,746.6,191.5,735.9,793.3,888.2,205.5,687.4,748.2,874.1,186.9,636.1,664.1,807.9,174.8,630.3,705.4,870.4,209.0,683.0,697.0,839.2,218.1,690.6,688.1,837.7,220.0,667.6,676.7,801.7,215.6,648.3,693.2,806.8,211.9,664.8,695.2,800.9
"어업",652.4,600.8,621.9,875.3,688.9,657.6,668.8,913.8,747.4,660.9,635.2,839.6,618.3,520.3,494.2,688.7,578.6,544.4,618.8,720.1,619.5,566.7,563.6,759.8,708.4,578.9,576.2,727.8,646.5,587.0,554.7,783.3,720.9,613.6,608.9,823.5,693.5,621.1,565.3,712.4
"광업",489.0,689.0,600.6,577.3,514.5,700.9,622.0,525.2,437.7,610.3,580.2,516.5,468.4,635.4,653.1,539.1,497.7,658.5,575.1,473.1,450.3,586.8,505.2,499.3,402.9,545.6,469.1,498.0,395.0,518.8,449.7,490.0,370.2,536.1,506.4,466.8,359.6,491.9,495.2,428.6
"제조업",99702.0,106106.2,104081.4,110603.4,103850.3,110601.6,106721.6,112680.1,104869.0,110778.2,109462.2,116024.1,106357.8,113930.7,111392.4,119613.2,110746.1,116305.9,118585.3,122433.0,111767.2,119713.9,122581.6,129467.4,112755.0,120350.7,123943.6,131885.3,116652.3,112495.9,122648.7,131894.3,121976.7,128314.1,129679.9,137054.1,125889.0,131995.0,132831.7,133370.6
"음식료품 제조업",4848.7,4858.4,4728.6,4985.4,4671.7,4825.8,4915.4,5129.9,4821.2,5100.8,5121.7,5300.7,4909.1,5142.0,4981.2,5249.0,5023.8,5288.6,5382.7,5371.6,5319.6,5407.4,5153.9,5797.8,5499.0,5686.9,5352.7,5963.0,5661.7,5713.3,5639.2,6066.0,5738.4,5799.6,5591.6,6373.0,5944.2,6040.4,5813.3,6031.8
"섬유 및 가죽제품 제조업",4381.5,4521.1,4756.9,4861.9,4387.3,4617.3,4742.5,4864.5,4212.9,4391.8,4359.2,4328.2,3686.6,3661.0,3689.4,3966.6,3788.8,3763.5,3793.6,3942.5,3898.0,3601.6,3339.7,3664.0,3760.6,3223.3,2983.0,3327.0,3611.1,2671.3,2921.3,3244.4,3461.0,2886.1,2909.1,3213.1,3462.1,2873.8,2842.9,2858.6
"목재, 종이, 인쇄 및 복제업",2936.6,3128.7,3084.3,3444.4,3120.2,3335.1,3149.8,3434.3,3079.6,3302.6,3117.9,3670.9,3362.7,3671.0,3440.4,3815.4,3328.3,3464.0,3256.7,3627.6,3171.4,3493.4,3318.4,3907.4,3108.6,3394.5,3301.6,3928.1,3133.8,3295.5,3317.2,3887.0,3178.2,3549.5,3327.9,3910.5,3098.4,3435.5,3213.6,3596.0
