날짜,종가,오픈,고가,저가,거래량,변동 %
2023-03-16,69800.0,71100.0,71200.0,68500.0,646620.0,-2.65
2023-03-15,71700.0,72400.0,72700.0,70700.0,495310.0,0.28
2023-03-14,71500.0,72100.0,72800.0,71100.0,561310.0,0.56
2023-03-13,71100.0,74900.0,75200.0,70500.0,50.0,-8.49
2023-03-12,77700.0,77700.0,77700.0,77700.0,0.0,0.0
2023-03-10,77700.0,77800.0,79800.0,77200.0,279940.0,-1.02
2023-03-09,78500.0,79700.0,79700.0,77600.0,0.0,-1.88
2023-03-08,80000.0,78700.0,81300.0,78100.0,611370.0,2.7
2023-03-07,77900.0,77600.0,80000.0,77000.0,546870.0,1.56
2023-03-06,76700.0,77200.0,77800.0,75200.0,494770.0,-1.03
2023-03-05,77500.0,77500.0,77500.0,77500.0,0.0,0.0
2023-03-03,77500.0,77900.0,78000.0,75700.0,332420.0,0.0
2023-03-02,77500.0,78600.0,79000.0,77000.0,20.0,-1.52
2023-03-01,78700.0,78700.0,78700.0,78700.0,0.0,0.0
2023-02-28,78700.0,76600.0,79500.0,76000.0,438960.0,3.42
2023-02-27,76100.0,75300.0,76800.0,74900.0,232610.0,0.26
2023-02-26,75900.0,75900.0,75900.0,75900.0,0.0,0.0
2023-02-24,75900.0,76400.0,76700.0,75000.0,269980.0,-0.52
2023-02-23,76300.0,76000.0,76500.0,73700.0,468340.0,0.39
2023-02-22,76000.0,74100.0,77600.0,73600.0,1000000.0,4.11
2023-02-21,73000.0,74000.0,74400.0,72300.0,195200.0,-1.35
2023-02-20,74000.0,71800.0,74900.0,71800.0,515470.0,3.06
2023-02-19,71800.0,71800.0,71800.0,71800.0,0.0,0.0
2023-02-17,71800.0,71300.0,72100.0,70500.0,407300.0,-0.69
2023-02-16,72300.0,71800.0,72500.0,71400.0,340860.0,0.84
2023-02-15,71700.0,73600.0,73700.0,71100.0,442570.0,-2.05
2023-02-14,73200.0,73200.0,73200.0,71700.0,10.0,0.55
2023-02-13,72800.0,73300.0,74800.0,72600.0,280100.0,-0.68
2023-02-12,73300.0,73300.0,73300.0,73300.0,0.0,0.0
2023-02-10,73300.0,74100.0,75600.0,72600.0,658810.0,0.96
2023-02-09,72600.0,72700.0,74000.0,71600.0,421200.0,0.0
2023-02-08,72600.0,72400.0,73400.0,71700.0,316070.0,1.11
2023-02-07,71800.0,71800.0,73300.0,70900.0,338430.0,0.56
2023-02-06,71400.0,72800.0,73100.0,71100.0,272900.0,-1.92
2023-02-05,72800.0,72800.0,72800.0,72800.0,0.0,0.0
2023-02-03,72800.0,72300.0,73500.0,71400.0,319350.0,0.97
2023-02-02,72100.0,72600.0,73100.0,70800.0,264090.0,0.0
2023-02-01,72100.0,72800.0,73000.0,71500.0,209610.0,-0.55
2023-01-31,72500.0,70500.0,73000.0,70100.0,30.0,2.84
2023-01-30,70500.0,71300.0,71800.0,70100.0,215470.0,-0.84
2023-01-29,71100.0,71100.0,71100.0,71100.0,0.0,0.0
2023-01-27,71100.0,69000.0,71500.0,68800.0,492130.0,3.64
2023-01-26,68600.0,67600.0,69600.0,66800.0,436430.0,1.63
2023-01-25,67500.0,67400.0,68200.0,66800.0,0.0,0.9
2023-01-20,66900.0,67100.0,67600.0,65700.0,272610.0,0.0
2023-01-19,66900.0,64600.0,67400.0,64400.0,50.0,3.24
2023-01-18,64800.0,64200.0,65200.0,63800.0,354200.0,1.41
2023-01-17,63900.0,64000.0,64800.0,63200.0,329140.0,0.16
2023-01-16,63800.0,64100.0,64300.0,63400.0,980.0,-0.16
2023-01-15,63900.0,63900.0,63900.0,63900.0,0.0,0.0
2023-01-13,63900.0,66000.0,66600.0,63600.0,525410.0,-3.18
2023-01-12,66000.0,65900.0,66700.0,64700.0,0.0,0.92
2023-01-11,65400.0,64300.0,65700.0,64000.0,296890.0,2.51
2023-01-10,63800.0,65500.0,65700.0,63700.0,110.0,-2.74
2023-01-09,65600.0,63500.0,65800.0,63500.0,90.0,3.96
2023-01-08,63100.0,63100.0,63100.0,63100.0,0.0,0.0
2023-01-06,63100.0,64500.0,64500.0,62200.0,481970.0,-2.32
2023-01-05,64600.0,65100.0,65800.0,63200.0,389680.0,-0.77
2023-01-04,65100.0,67500.0,67600.0,64600.0,713440.0,-4.26
2023-01-03,68000.0,66900.0,69400.0,66500.0,507020.0,1.19
2023-01-02,67200.0,67800.0,68200.0,64300.0,466130.0,-0.88
2022-12-29,67800.0,66500.0,67900.0,66200.0,360560.0,1.35
2022-12-28,66900.0,67700.0,68000.0,65700.0,0.0,-1.91
2022-12-27,68200.0,67400.0,68200.0,67100.0,10.0,1.34
2022-12-26,67300.0,67400.0,67800.0,66600.0,467610.0,0.6
2022-12-23,66900.0,66100.0,67500.0,66000.0,345840.0,-1.47
2022-12-22,67900.0,66900.0,68100.0,65800.0,232480.0,2.57
2022-12-21,66200.0,67200.0,67200.0,64500.0,245370.0,-0.15
2022-12-20,66300.0,67200.0,68200.0,66200.0,262420.0,-1.78
2022-12-19,67500.0,65200.0,67700.0,65200.0,20.0,3.53
2022-12-18,65200.0,65200.0,65200.0,65200.0,0.0,0.0
2022-12-16,65200.0,63200.0,65700.0,63200.0,252820.0,1.56
2022-12-15,64200.0,64700.0,66100.0,64100.0,10.0,-1.68
2022-12-14,65300.0,63900.0,65500.0,63700.0,260780.0,2.35
2022-12-13,63800.0,65700.0,65700.0,63400.0,20.0,-2.0
2022-12-12,65100.0,65200.0,67800.0,65100.0,425230.0,0.15
2022-12-11,65000.0,65000.0,65000.0,65000.0,0.0,0.0
2022-12-09,65000.0,64000.0,65800.0,64000.0,358060.0,2.52
2022-12-08,63400.0,63300.0,64100.0,62400.0,210.0,0.16
2022-12-07,63300.0,63300.0,64200.0,62700.0,284810.0,-0.78
2022-12-06,63800.0,64200.0,64500.0,62800.0,262390.0,-0.62
2022-12-05,64200.0,64500.0,65900.0,64200.0,0.0,-0.47
2022-12-04,64500.0,64500.0,64500.0,64500.0,0.0,0.0
2022-12-02,64500.0,64200.0,65100.0,63400.0,281010.0,-0.15
2022-12-01,64600.0,61500.0,65400.0,61400.0,844610.0,6.6
2022-11-30,60600.0,61200.0,61600.0,59900.0,190550.0,-0.98
2022-11-29,61200.0,59600.0,61700.0,59500.0,221590.0,1.49
2022-11-28,60300.0,61400.0,61600.0,58800.0,357570.0,-2.11
2022-11-25,61600.0,61900.0,62600.0,60800.0,185520.0,-0.16
2022-11-24,61700.0,61000.0,62000.0,60600.0,243570.0,0.82
2022-11-23,61200.0,60100.0,61700.0,60000.0,405700.0,3.55
2022-11-22,59100.0,59000.0,60400.0,57900.0,282050.0,-0.51
2022-11-21,59400.0,59600.0,60300.0,58800.0,292220.0,-0.17
2022-11-18,59500.0,61500.0,61600.0,59400.0,388650.0,-3.25
2022-11-17,61500.0,59900.0,62200.0,59900.0,424150.0,1.99
2022-11-16,60300.0,58700.0,60400.0,58300.0,524970.0,3.61
2022-11-15,58200.0,57900.0,59600.0,57400.0,672010.0,2.46
2022-11-14,56800.0,56500.0,56900.0,54900.0,505110.0,0.0
2022-11-11,56800.0,57800.0,58400.0,55500.0,538680.0,1.43
2022-11-10,56000.0,54800.0,56500.0,54700.0,0.0,1.27
2022-11-09,55300.0,55300.0,56900.0,54900.0,359890.0,0.91
2022-11-08,54800.0,53400.0,55500.0,53400.0,447140.0,3.01
2022-11-07,53200.0,53200.0,54000.0,52700.0,216890.0,0.38
2022-11-06,53000.0,53000.0,53000.0,53000.0,0.0,0.0
2022-11-04,53000.0,52600.0,53200.0,51600.0,294760.0,0.19
2022-11-03,52900.0,54500.0,54700.0,52800.0,20.0,-4.68
2022-11-02,55500.0,55400.0,56400.0,54400.0,228770.0,0.0
2022-11-01,55500.0,55800.0,56900.0,54500.0,231330.0,0.0
2022-10-31,55500.0,55300.0,55800.0,53000.0,243560.0,1.28
2022-10-30,54800.0,54800.0,54800.0,54800.0,0.0,0.0
2022-10-28,54800.0,54900.0,55700.0,54500.0,125830.0,-1.08
2022-10-27,55400.0,54600.0,56000.0,54600.0,10.0,2.4
2022-10-26,54100.0,54600.0,55000.0,54000.0,20.0,-2.17
2022-10-25,55300.0,54500.0,56100.0,53800.0,284320.0,1.84
2022-10-24,54300.0,52800.0,54800.0,52600.0,416740.0,4.83
2022-10-21,51800.0,52300.0,52900.0,51200.0,300360.0,-2.08
2022-10-20,52900.0,55100.0,55300.0,51700.0,606510.0,-3.99
2022-10-19,55100.0,57300.0,57800.0,55100.0,257370.0,-2.99
2022-10-18,56800.0,58500.0,58500.0,55800.0,190.0,-1.05
2022-10-17,57400.0,57100.0,58200.0,56100.0,30.0,0.7
2022-10-16,57000.0,57000.0,57000.0,57000.0,0.0,0.0
2022-10-14,57000.0,56700.0,58000.0,56100.0,298600.0,4.4
2022-10-13,54600.0,56000.0,57800.0,54500.0,398440.0,-3.36
2022-10-12,56500.0,52800.0,56600.0,52800.0,402870.0,6.0
2022-10-11,53300.0,54600.0,54600.0,52100.0,0.0,-4.31
2022-10-10,55700.0,55700.0,55700.0,55700.0,0.0,0.0
2022-10-07,55700.0,56900.0,57200.0,54900.0,339230.0,-1.76
2022-10-06,56700.0,57500.0,57600.0,55900.0,50.0,-0.7
2022-10-05,57100.0,59900.0,60200.0,56800.0,345900.0,-4.19
2022-10-04,59600.0,59700.0,60100.0,58500.0,309270.0,1.36
2022-10-03,58800.0,58800.0,58800.0,58800.0,0.0,0.0
