날짜,종가,오픈,고가,저가,거래량,변동 %
2023- 03- 16,111600.0,112200.0,113900.0,111300.0,961000.0,-1.59
2023- 03- 15,113400.0,114600.0,116300.0,113400.0,320.0,-1.56
2023- 03- 14,115200.0,114400.0,118000.0,112500.0,2450000.0,1.86
2023- 03- 13,113100.0,134300.0,134300.0,111500.0,770.0,-23.48
2023- 03- 12,147800.0,147800.0,147800.0,147800.0,0.0,0.0
2023- 03- 10,147800.0,152000.0,154000.0,146000.0,3530000.0,-4.58
2023- 03- 09,154900.0,157000.0,157000.0,153000.0,210.0,-2.27
2023- 03- 08,158500.0,154100.0,161200.0,150600.0,2550000.0,5.88
2023- 03- 07,149700.0,147200.0,149700.0,146500.0,3590000.0,15.07
2023- 03- 06,130100.0,125300.0,134900.0,124700.0,2400000.0,0.7
2023- 03- 05,129200.0,129200.0,129200.0,129200.0,0.0,0.0
2023- 03- 03,129200.0,127400.0,131000.0,124500.0,1030000.0,0.94
2023- 03- 02,128000.0,125500.0,130900.0,125300.0,650.0,0.31
2023- 03- 01,127600.0,127600.0,127600.0,127600.0,0.0,0.0
2023- 02- 28,127600.0,121200.0,128000.0,118700.0,3450000.0,6.07
2023- 02- 27,120300.0,122000.0,127100.0,119300.0,2070000.0,-0.58
2023- 02- 26,121000.0,121000.0,121000.0,121000.0,0.0,0.0
2023- 02- 24,121000.0,126000.0,126000.0,120700.0,1610000.0,-4.2
2023- 02- 23,126300.0,122500.0,127300.0,120600.0,1820000.0,4.29
2023- 02- 22,121100.0,123400.0,125800.0,120100.0,1150000.0,-1.94
2023- 02- 21,123500.0,124400.0,125500.0,122000.0,1050000.0,1.4
2023- 02- 20,121800.0,125000.0,125500.0,121700.0,1660000.0,-6.38
2023- 02- 19,130100.0,130100.0,130100.0,130100.0,0.0,0.0
2023- 02- 17,130100.0,132300.0,132900.0,126000.0,1990000.0,-1.36
2023- 02- 16,131900.0,124900.0,133600.0,120700.0,4320000.0,7.59
2023- 02- 15,122600.0,118700.0,127900.0,117600.0,4470000.0,4.97
2023- 02- 14,116800.0,116800.0,118900.0,116200.0,180.0,0.69
2023- 02- 13,116000.0,115000.0,118300.0,114500.0,3250000.0,1.13
2023- 02- 12,114700.0,114700.0,114700.0,114700.0,0.0,0.0
2023- 02- 10,114700.0,115200.0,117000.0,107300.0,8770000.0,16.45
2023- 02- 09,98500.0,100000.0,103300.0,95700.0,2990000.0,-0.2
2023- 02- 08,98700.0,95000.0,99800.0,92100.0,3630000.0,9.54
2023- 02- 07,90100.0,93000.0,99700.0,85700.0,3800000.0,-2.28
2023- 02- 06,92200.0,90500.0,93900.0,89600.0,645650.0,1.32
2023- 02- 05,91000.0,91000.0,91000.0,91000.0,0.0,0.0
2023- 02- 03,91000.0,89900.0,95900.0,88100.0,2360000.0,2.13
2023- 02- 02,89100.0,86900.0,89900.0,86100.0,682160.0,2.77
2023- 02- 01,86700.0,87700.0,88000.0,86100.0,409810.0,-1.48
2023- 01- 31,88000.0,84200.0,88500.0,83500.0,40.0,3.9
2023- 01- 30,84700.0,82900.0,86300.0,82400.0,836210.0,2.67
2023- 01- 29,82500.0,82500.0,82500.0,82500.0,0.0,0.0
2023- 01- 27,82500.0,80600.0,83000.0,80400.0,587020.0,2.74
2023- 01- 26,80300.0,80800.0,81700.0,79500.0,503220.0,-0.37
2023- 01- 25,80600.0,84300.0,84300.0,80100.0,320.0,-3.01
2023- 01- 24,83100.0,83100.0,83100.0,83100.0,0.0,0.0
2023- 01- 20,83100.0,77000.0,84500.0,76500.0,1770000.0,8.2
2023- 01- 19,76800.0,73700.0,77000.0,73500.0,220.0,3.64
2023- 01- 18,74100.0,73500.0,74400.0,72900.0,274510.0,0.95
2023- 01- 17,73400.0,74200.0,74800.0,73000.0,319710.0,-1.48
2023- 01- 16,74500.0,76200.0,76200.0,74200.0,170.0,-1.32
2023- 01- 13,75500.0,77500.0,78000.0,74900.0,507160.0,-2.83
2023- 01- 12,77700.0,79400.0,80400.0,76400.0,140.0,0.91
2023- 01- 11,77000.0,75400.0,77000.0,74200.0,416000.0,3.22
2023- 01- 10,74600.0,75900.0,76400.0,74400.0,20.0,-2.23
2023- 01- 09,76300.0,75000.0,77900.0,75000.0,110.0,3.25
2023- 01- 06,73900.0,74000.0,74400.0,71700.0,441070.0,-0.67
2023- 01- 05,74400.0,75600.0,76900.0,73600.0,296180.0,-1.06
2023- 01- 04,75200.0,77200.0,77400.0,74200.0,332420.0,-2.59
2023- 01- 03,77200.0,74900.0,78400.0,74700.0,461340.0,2.66
2023- 01- 02,75200.0,76700.0,77800.0,73500.0,20.0,-1.96
2022- 12- 29,76700.0,75100.0,77200.0,74200.0,491020.0,0.92
2022- 12- 28,76000.0,78700.0,78700.0,75000.0,10.0,-4.16
2022- 12- 27,79300.0,79200.0,80200.0,78000.0,407120.0,0.25
2022- 12- 26,79100.0,77100.0,79200.0,76500.0,50.0,2.59
2022- 12- 25,77100.0,77100.0,77100.0,77100.0,0.0,0.0
2022- 12- 23,77100.0,77500.0,78400.0,76600.0,445960.0,-3.38
2022- 12- 22,79800.0,78800.0,80100.0,77400.0,282270.0,2.31
2022- 12- 21,78000.0,79600.0,79700.0,77100.0,245410.0,-0.64
2022- 12- 20,78500.0,80700.0,81800.0,78400.0,303270.0,-3.33
2022- 12- 19,81200.0,77900.0,81400.0,77800.0,250.0,4.1
2022- 12- 18,78000.0,78000.0,78000.0,78000.0,0.0,0.0
2022- 12- 16,78000.0,76400.0,78400.0,75700.0,219490.0,0.26
2022- 12- 15,77800.0,78900.0,80100.0,77100.0,10.0,-1.64
2022- 12- 14,79100.0,78400.0,80200.0,78400.0,10.0,0.38
2022- 12- 13,78800.0,80500.0,80500.0,78100.0,236970.0,-0.76
2022- 12- 12,79400.0,79000.0,81600.0,78700.0,309330.0,0.51
2022- 12- 11,79000.0,79000.0,79000.0,79000.0,0.0,0.0
2022- 12- 09,79000.0,78600.0,80600.0,78600.0,287960.0,1.28
2022- 12- 08,78000.0,79200.0,79700.0,77600.0,30.0,-1.52
2022- 12- 07,79200.0,78700.0,80200.0,78200.0,250810.0,0.0
2022- 12- 06,79200.0,80300.0,80900.0,78600.0,432820.0,-2.7
2022- 12- 05,81400.0,82100.0,83200.0,81100.0,90.0,-0.85
2022- 12- 04,82100.0,82100.0,82100.0,82100.0,0.0,0.0
2022- 12- 02,82100.0,81000.0,82600.0,81000.0,304270.0,0.49
