날짜,종가,오픈,고가,저가,거래량,변동 %
2023- 03- 16,51900.0,52200.0,52800.0,51300.0,274290.0,-1.7
2023- 03- 15,52800.0,54200.0,54600.0,52100.0,441790.0,-0.75
2023- 03- 14,53200.0,55000.0,55000.0,52800.0,420750.0,-2.56
2023- 03- 13,54600.0,56200.0,56400.0,53500.0,30.0,-5.04
2023- 03- 12,57500.0,57500.0,57500.0,57500.0,0.0,0.0
2023- 03- 10,57500.0,57500.0,59500.0,57200.0,338290.0,-1.54
2023- 03- 09,58400.0,60400.0,60400.0,57900.0,423590.0,-3.15
2023- 03- 08,60300.0,59900.0,62400.0,59800.0,734890.0,1.34
2023- 03- 07,59500.0,58300.0,60700.0,57600.0,925410.0,4.02
2023- 03- 06,57200.0,56800.0,58000.0,56000.0,371320.0,0.18
2023- 03- 05,57100.0,57100.0,57100.0,57100.0,0.0,0.0
2023- 03- 03,57100.0,57700.0,58700.0,56200.0,359790.0,-0.7
2023- 03- 02,57500.0,58000.0,58900.0,57400.0,100.0,-0.86
2023- 03- 01,58000.0,58000.0,58000.0,58000.0,0.0,0.0
2023- 02- 28,58000.0,54200.0,58100.0,53900.0,1010000.0,7.61
2023- 02- 27,53900.0,53100.0,54600.0,52800.0,293250.0,1.51
2023- 02- 26,53100.0,53100.0,53100.0,53100.0,0.0,0.0
2023- 02- 24,53100.0,54300.0,54500.0,52700.0,349660.0,-3.1
2023- 02- 23,54800.0,54800.0,55000.0,53700.0,340190.0,0.55
2023- 02- 22,54500.0,53000.0,55300.0,53000.0,10.0,1.11
2023- 02- 21,53900.0,52800.0,54200.0,52000.0,339630.0,1.32
2023- 02- 20,53200.0,51200.0,53400.0,50800.0,447710.0,4.72
2023- 02- 19,50800.0,50800.0,50800.0,50800.0,0.0,0.0
2023- 02- 17,50800.0,51800.0,52300.0,50500.0,276920.0,-3.79
2023- 02- 16,52800.0,51100.0,52800.0,51000.0,50.0,4.35
2023- 02- 15,50600.0,52400.0,52600.0,50300.0,392370.0,-3.25
2023- 02- 14,52300.0,52300.0,52700.0,51400.0,340.0,0.58
2023- 02- 13,52000.0,52900.0,53800.0,51800.0,296980.0,-1.14
2023- 02- 10,52600.0,54100.0,55000.0,52500.0,823850.0,-1.13
2023- 02- 09,53200.0,53300.0,54000.0,52700.0,315190.0,-0.19
2023- 02- 08,53300.0,52700.0,53700.0,52200.0,441300.0,2.11
2023- 02- 07,52200.0,52400.0,53000.0,51700.0,298040.0,0.0
2023- 02- 06,52200.0,52800.0,53200.0,52000.0,249100.0,-1.14
2023- 02- 05,52800.0,52800.0,52800.0,52800.0,0.0,0.0
2023- 02- 03,52800.0,51900.0,53400.0,51600.0,513690.0,2.13
2023- 02- 02,51700.0,52300.0,52900.0,51200.0,372260.0,-0.58
2023- 02- 01,52000.0,52000.0,52400.0,51400.0,200.0,0.19
2023- 01- 31,51900.0,50100.0,52300.0,50000.0,380750.0,2.17
2023- 01- 30,50800.0,51400.0,51900.0,50600.0,293010.0,-1.36
2023- 01- 27,51500.0,50700.0,51900.0,50600.0,319540.0,1.18
2023- 01- 26,50900.0,51100.0,51900.0,50400.0,401410.0,-0.2
2023- 01- 25,51000.0,52100.0,52100.0,50200.0,0.0,-1.73
2023- 01- 24,51900.0,51900.0,51900.0,51900.0,0.0,0.0
2023- 01- 20,51900.0,52300.0,52900.0,51100.0,500620.0,-1.33
2023- 01- 19,52600.0,49900.0,52700.0,49500.0,914290.0,5.94
2023- 01- 18,49650.0,48150.0,49650.0,48150.0,920.0,3.22
2023- 01- 17,48100.0,48650.0,49250.0,48000.0,192100.0,-0.52
2023- 01- 16,48350.0,49100.0,49500.0,48100.0,326540.0,-1.43
2023- 01- 13,49050.0,48650.0,49150.0,47650.0,370190.0,0.82
2023- 01- 12,48650.0,48550.0,49500.0,48050.0,428190.0,1.57
2023- 01- 11,47900.0,47200.0,48150.0,47000.0,276520.0,1.91
2023- 01- 10,47000.0,48650.0,48750.0,46850.0,30.0,-3.69
2023- 01- 09,48800.0,50000.0,50500.0,48400.0,110.0,-1.61
2023- 01- 06,49600.0,48700.0,49900.0,46950.0,578230.0,1.02
2023- 01- 05,49100.0,49250.0,50000.0,48300.0,110.0,0.61
2023- 01- 04,48800.0,49800.0,50000.0,48350.0,503260.0,-1.41
2023- 01- 03,49500.0,47500.0,50800.0,47500.0,1170000.0,3.02
2023- 01- 02,48050.0,43850.0,48800.0,43850.0,20.0,9.58
2022- 12- 29,43850.0,42450.0,44250.0,42450.0,313370.0,2.45
2022- 12- 28,42800.0,45000.0,45000.0,42550.0,0.0,-4.89
2022- 12- 27,45000.0,45250.0,45850.0,44800.0,306650.0,-0.77
2022- 12- 26,45350.0,46150.0,46200.0,45150.0,380.0,-1.52
2022- 12- 25,46050.0,46050.0,46050.0,46050.0,0.0,0.0
2022- 12- 23,46050.0,46950.0,47350.0,46000.0,396310.0,-3.56
2022- 12- 22,47750.0,45000.0,48000.0,44350.0,801160.0,7.06
2022- 12- 21,44600.0,44950.0,45250.0,44200.0,224330.0,0.79
2022- 12- 20,44250.0,46450.0,46900.0,44050.0,403610.0,-5.55
2022- 12- 19,46850.0,45300.0,46900.0,45300.0,380310.0,3.42
2022- 12- 18,45300.0,45300.0,45300.0,45300.0,0.0,0.0
2022- 12- 16,45300.0,43100.0,45600.0,43050.0,282070.0,2.84
2022- 12- 15,44050.0,45300.0,45500.0,43950.0,227790.0,-2.76
2022- 12- 14,45300.0,44350.0,45600.0,44000.0,950.0,2.37
