,종가,오픈,고가,저가,거래량,변동 %
2023-03-17,11745.0,11735.0,11745.0,11570.0,4910000.0,1.69
2023-03-16,11550.0,11520.0,11630.0,11310.0,9450000.0,-0.09
2023-03-15,11560.0,11420.0,11595.0,11405.0,390.0,3.54
2023-03-14,11165.0,11560.0,11615.0,11165.0,9840000.0,-3.92
2023-03-13,11620.0,11515.0,11635.0,10915.0,9440000.0,1.13
2023-03-12,11490.0,11490.0,11490.0,11490.0,0.0,0.0
2023-03-10,11490.0,11590.0,11595.0,11440.0,9240000.0,-2.3
2023-03-09,11760.0,11960.0,11960.0,11660.0,5300000.0,-0.93
2023-03-08,11870.0,11700.0,11920.0,11700.0,8750000.0,0.13
2023-03-07,11855.0,11755.0,11980.0,11755.0,5040000.0,-0.13
2023-03-06,11870.0,11750.0,11890.0,11685.0,7040000.0,2.37
2023-03-03,11595.0,11360.0,11625.0,11340.0,7540000.0,2.88
2023-03-02,11270.0,11445.0,11585.0,11270.0,300.0,-1.31
2023-03-01,11420.0,11420.0,11420.0,11420.0,0.0,0.0
2023-02-28,11420.0,11240.0,11495.0,11240.0,5170000.0,1.83
2023-02-27,11215.0,11080.0,11245.0,11000.0,6540000.0,0.63
2023-02-26,11145.0,11145.0,11145.0,11145.0,0.0,0.0
2023-02-24,11145.0,11275.0,11300.0,11105.0,5800000.0,-1.11
2023-02-23,11270.0,11290.0,11350.0,11100.0,6360000.0,0.58
2023-02-22,11205.0,11310.0,11430.0,11160.0,9860000.0,-2.78
2023-02-21,11525.0,11440.0,11525.0,11380.0,3420000.0,0.61
2023-02-20,11455.0,11165.0,11485.0,11105.0,4820000.0,3.11
2023-02-19,11110.0,11110.0,11110.0,11110.0,0.0,0.0
2023-02-17,11110.0,11140.0,11275.0,11060.0,3910000.0,-2.29
2023-02-16,11370.0,11070.0,11385.0,11060.0,4050000.0,4.26
2023-02-15,10905.0,11145.0,11225.0,10900.0,7030000.0,-1.76
2023-02-14,11100.0,11070.0,11130.0,10995.0,3890.0,1.28
2023-02-13,10960.0,10895.0,11025.0,10875.0,3940000.0,0.0
2023-02-12,10960.0,10960.0,10960.0,10960.0,0.0,0.0
2023-02-10,10960.0,11100.0,11110.0,10930.0,3260000.0,-1.39
2023-02-09,11115.0,10900.0,11120.0,10880.0,3380000.0,1.18
2023-02-08,10985.0,10920.0,10990.0,10915.0,5900000.0,1.34
2023-02-07,10840.0,10615.0,10900.0,10610.0,3170000.0,2.12
2023-02-06,10615.0,10620.0,10735.0,10605.0,3830000.0,-1.12
2023-02-05,10735.0,10735.0,10735.0,10735.0,0.0,0.0
2023-02-03,10735.0,10695.0,10780.0,10625.0,4870000.0,0.42
2023-02-02,10690.0,10635.0,10725.0,10575.0,9600000.0,2.3
2023-02-01,10450.0,10295.0,10510.0,10265.0,3720000.0,2.2
2023-01-31,10225.0,10135.0,10245.0,10110.0,3990000.0,0.34
2023-01-30,10190.0,10325.0,10420.0,10185.0,3340000.0,-1.07
2023-01-29,10300.0,10300.0,10300.0,10300.0,0.0,0.0
2023-01-27,10300.0,10315.0,10355.0,10265.0,3810000.0,0.0
2023-01-26,10300.0,10185.0,10320.0,10150.0,4360000.0,1.28
2023-01-25,10170.0,10105.0,10190.0,10085.0,3580000.0,2.26
2023-01-20,9945.0,9860.0,9975.0,9850.0,3850000.0,0.35
2023-01-19,9910.0,9815.0,9915.0,9755.0,0.0,0.2
2023-01-18,9890.0,9865.0,9925.0,9835.0,0.0,0.51
2023-01-17,9840.0,10020.0,10060.0,9840.0,4270000.0,-1.99
2023-01-16,10040.0,9985.0,10095.0,9970.0,1390.0,0.75
2023-01-15,9965.0,9965.0,9965.0,9965.0,0.0,0.0
2023-01-13,9965.0,10015.0,10085.0,9915.0,4310000.0,-0.5
2023-01-12,10015.0,10055.0,10065.0,9920.0,4300000.0,0.45
2023-01-11,9970.0,9840.0,10025.0,9840.0,5530000.0,2.36
2023-01-10,9740.0,9890.0,9955.0,9740.0,4690000.0,-1.96
2023-01-09,9935.0,9860.0,9970.0,9860.0,3400.0,1.85
2023-01-06,9755.0,9495.0,9805.0,9490.0,7340000.0,2.09
2023-01-05,9555.0,9670.0,9740.0,9535.0,6960000.0,-1.19
2023-01-04,9670.0,9520.0,9685.0,9445.0,9060000.0,0.62
2023-01-03,9610.0,9600.0,9650.0,9435.0,9500000.0,0.47
2023-01-02,9565.0,9730.0,9815.0,9525.0,8870000.0,-0.78
2022-12-29,9640.0,9775.0,9835.0,9550.0,7570000.0,-1.83
2022-12-28,9820.0,10015.0,10030.0,9790.0,100.0,-2.87
2022-12-27,10110.0,10010.0,10150.0,10010.0,100.0,1.46
2022-12-26,9965.0,9790.0,9975.0,9730.0,7030000.0,1.89
2022-12-23,9780.0,10025.0,10030.0,9780.0,7140000.0,-3.98
2022-12-22,10185.0,10035.0,10185.0,10020.0,9260000.0,2.46
2022-12-21,9940.0,9995.0,10025.0,9895.0,5570000.0,0.51
2022-12-20,9890.0,10040.0,10085.0,9850.0,6740000.0,-1.98
2022-12-19,10090.0,10045.0,10205.0,10045.0,5180000.0,0.15
2022-12-18,10075.0,10075.0,10075.0,10075.0,0.0,0.0
2022-12-16,10075.0,10030.0,10145.0,9995.0,3420000.0,-1.27
2022-12-15,10205.0,10305.0,10385.0,10190.0,5690000.0,-1.78
2022-12-14,10390.0,10210.0,10415.0,10210.0,720.0,2.26
2022-12-13,10160.0,10200.0,10220.0,10105.0,5180000.0,0.3
2022-12-12,10130.0,10140.0,10210.0,10125.0,2750000.0,-1.27
2022-12-11,10260.0,10260.0,10260.0,10260.0,0.0,0.0
2022-12-09,10260.0,10230.0,10320.0,10170.0,5160000.0,1.08
2022-12-08,10150.0,10120.0,10230.0,10120.0,4059999.9999999995,0.1
2022-12-07,10140.0,10125.0,10295.0,10105.0,1810.0,-0.49
2022-12-06,10190.0,10255.0,10320.0,10190.0,4270000.0,-1.92
2022-12-05,10390.0,10370.0,10495.0,10345.0,5660000.0,0.63
2022-12-04,10325.0,10325.0,10325.0,10325.0,0.0,0.0
2022-12-02,10325.0,10505.0,10520.0,10325.0,5460000.0,-2.18
2022-12-01,10555.0,10605.0,10690.0,10520.0,8430000.0,2.23
2022-11-30,10325.0,10290.0,10355.0,10205.0,5190000.0,-0.15
2022-11-29,10340.0,10085.0,10380.0,10065.0,5990000.0,1.97
2022-11-28,10140.0,10360.0,10365.0,10110.0,5170000.0,-2.45
2022-11-27,10395.0,10395.0,10395.0,10395.0,0.0,0.0
2022-11-25,10395.0,10470.0,10500.0,10385.0,5060000.0,-1.24
2022-11-24,10525.0,10420.0,10570.0,10395.0,6190000.0,1.69
2022-11-23,10350.0,10185.0,10360.0,10185.0,6090000.0,2.37
2022-11-22,10110.0,10210.0,10260.0,10095.0,7700000.0,-1.17
2022-11-21,10230.0,10465.0,10490.0,10210.0,5500000.0,-2.15
2022-11-18,10455.0,10580.0,10685.0,10455.0,5400000.0,-1.18
2022-11-17,10580.0,10635.0,10700.0,10555.0,4950000.0,-1.17
2022-11-16,10705.0,10780.0,10805.0,10630.0,5320000.0,-0.42
2022-11-15,10750.0,10445.0,10770.0,10435.0,5370000.0,3.12
2022-11-14,10425.0,10560.0,10560.0,10410.0,4600000.0,-1.28
2022-11-13,10560.0,10560.0,10560.0,10560.0,0.0,0.0
2022-11-11,10560.0,10525.0,10570.0,10370.0,8320000.0,5.76
2022-11-10,9985.0,10020.0,10100.0,9965.0,4970000.0,-1.43
2022-11-09,10130.0,10190.0,10220.0,10090.0,5030000.0,-0.34
2022-11-08,10165.0,9990.0,10185.0,9975.0,5130000.0,2.42
2022-11-07,9925.0,9835.0,9935.0,9815.0,5610000.0,0.97
2022-11-06,9830.0,9830.0,9830.0,9830.0,0.0,0.0
2022-11-04,9830.0,9760.0,9835.0,9645.0,5990000.0,-0.1
2022-11-03,9840.0,9760.0,9905.0,9725.0,5170000.0,-1.5
2022-11-02,9990.0,10025.0,10025.0,9920.0,3800000.0,-0.7
2022-11-01,10060.0,10025.0,10075.0,9970.0,4490000.0,0.25
2022-10-31,10035.0,10040.0,10055.0,9920.0,6160000.0,1.36
2022-10-28,9900.0,9930.0,10050.0,9900.0,4200000.0,-1.39
2022-10-27,10040.0,9900.0,10040.0,9890.0,5960000.0,2.24
2022-10-26,9820.0,9875.0,9940.0,9815.0,5800000.0,-0.61
2022-10-25,9880.0,9875.0,9970.0,9805.0,5850000.0,0.1
2022-10-24,9870.0,9810.0,9915.0,9800.0,8270000.0,3.4
2022-10-21,9545.0,9535.0,9670.0,9520.0,7890000.0,-0.31
2022-10-20,9575.0,9735.0,9800.0,9515.0,8530000.0,-2.25
2022-10-19,9795.0,9960.0,10105.0,9790.0,8700000.0,-1.61
2022-10-18,9955.0,9900.0,9975.0,9735.0,10590000.0,2.47
2022-10-17,9715.0,9535.0,9730.0,9530.0,5540000.0,-0.15
2022-10-16,9730.0,9730.0,9730.0,9730.0,0.0,0.0
2022-10-14,9730.0,9530.0,9760.0,9525.0,10020000.0,4.62
2022-10-13,9300.0,9450.0,9460.0,9290.0,7820000.0,-2.21
2022-10-12,9510.0,9400.0,9535.0,9350.0,11410000.0,1.17
2022-10-11,9400.0,9540.0,9545.0,9390.0,8570000.0,-3.74
2022-10-10,9765.0,9765.0,9765.0,9765.0,0.0,0.0
2022-10-07,9765.0,9830.0,9970.0,9765.0,5750000.0,-1.81
2022-10-06,9945.0,9750.0,9985.0,9710.0,8510000.0,3.16
2022-10-05,9640.0,10050.0,10070.0,9630.0,10820000.0,-2.58
2022-10-04,9895.0,9720.0,9915.0,9710.0,6620000.0,3.78
2022-09-30,9535.0,9500.0,9660.0,9425.0,20430000.0,-0.88
2022-09-29,9620.0,9740.0,9865.0,9585.0,10740000.0,0.73
2022-09-28,9550.0,9820.0,9895.0,9490.0,20870000.0,-3.34
2022-09-27,9880.0,9755.0,9880.0,9585.0,22130000.0,1.65
