"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 16","176,500","172,000","178,000","171,000","233.99K","1.73%"
"2023- 03- 15","173,500","176,400","176,400","170,800","0.06K","-0.12%"
"2023- 03- 14","173,700","187,700","189,300","173,000","426.16K","-8.39%"
"2023- 03- 13","189,600","186,100","196,500","182,800","0.06K","3.21%"
"2023- 03- 12","183,700","183,700","183,700","183,700","","0.00%"
"2023- 03- 10","183,700","174,100","189,800","173,900","503.18K","4.08%"
"2023- 03- 09","176,500","177,800","179,200","174,800","0.01K","-0.40%"
"2023- 03- 08","177,200","188,500","189,900","175,400","472.29K","-5.99%"
"2023- 03- 07","188,500","186,900","191,000","184,000","306.58K","-1.72%"
"2023- 03- 06","191,800","194,200","195,900","189,400","353.05K","2.35%"
"2023- 03- 05","187,400","187,400","187,400","187,400","","0.00%"
"2023- 03- 03","187,400","185,200","188,900","185,200","114.56K","0.21%"
"2023- 03- 02","187,000","185,100","189,900","182,500","0.35K","1.03%"
"2023- 03- 01","185,100","185,100","185,100","185,100","","0.00%"
"2023- 02- 28","185,100","184,000","190,000","183,000","349.43K","1.48%"
"2023- 02- 27","182,400","181,000","185,200","178,100","291.26K","-0.44%"
"2023- 02- 26","183,200","183,200","183,200","183,200","","0.00%"
"2023- 02- 24","183,200","187,600","188,200","182,700","226.03K","-2.40%"
"2023- 02- 23","187,700","192,000","192,100","187,600","227.15K","0.00%"
"2023- 02- 22","187,700","183,900","192,900","183,800","603.00K","3.08%"
"2023- 02- 21","182,100","183,800","184,500","180,900","170.43K","-1.30%"
"2023- 02- 20","184,500","181,000","188,100","181,000","325.92K","1.37%"
"2023- 02- 19","182,000","182,000","182,000","182,000","","0.00%"
"2023- 02- 17","182,000","189,400","189,400","179,900","558.08K","-4.46%"
"2023- 02- 16","190,500","194,100","196,200","189,800","576.25K","-3.40%"
"2023- 02- 15","197,200","199,900","201,500","192,500","571.21K","-2.38%"
"2023- 02- 14","202,000","191,500","203,000","189,900","0.74K","6.88%"
"2023- 02- 13","189,000","204,000","204,500","188,800","725.51K","-3.23%"
"2023- 02- 12","195,300","195,300","195,300","195,300","","0.00%"
"2023- 02- 10","195,300","212,500","218,500","193,800","2.10M","-1.51%"
"2023- 02- 09","198,300","198,000","205,500","196,800","322.68K","0.35%"
"2023- 02- 08","197,600","189,600","200,000","189,600","419.69K","4.27%"
"2023- 02- 07","189,500","188,800","190,600","184,300","239.06K","0.37%"
"2023- 02- 06","188,800","195,400","195,500","188,800","205.08K","-3.48%"
"2023- 02- 05","195,600","195,600","195,600","195,600","","0.00%"
"2023- 02- 03","195,600","187,900","197,200","187,100","285.26K","4.10%"
"2023- 02- 02","187,900","189,700","192,000","187,300","186.94K","-0.84%"
"2023- 02- 01","189,500","191,200","191,200","188,500","0.05K","-1.15%"
"2023- 01- 31","191,700","187,000","193,400","185,700","0.05K","1.48%"
"2023- 01- 30","188,900","194,900","196,000","187,700","217.93K","-2.63%"
"2023- 01- 29","194,000","194,000","194,000","194,000","","0.00%"
"2023- 01- 27","194,000","192,200","194,800","189,000","189.97K","1.89%"
"2023- 01- 26","190,400","187,000","194,200","186,200","291.75K","2.15%"
"2023- 01- 25","186,400","188,000","188,500","185,000","152.40K","-0.32%"
"2023- 01- 24","187,000","187,000","187,000","187,000","","0.00%"
"2023- 01- 20","187,000","187,500","191,000","186,000","180.09K","-0.53%"
"2023- 01- 19","188,000","179,500","189,000","179,500","0.16K","5.03%"
"2023- 01- 18","179,000","177,500","182,000","176,000","0.38K","1.13%"
"2023- 01- 17","177,000","178,500","180,500","176,000","166.60K","-0.84%"
"2023- 01- 16","178,500","173,500","179,000","173,000","0.02K","2.29%"
"2023- 01- 15","174,500","174,500","174,500","174,500","","0.00%"
"2023- 01- 13","174,500","174,000","177,500","173,000","144.84K","0.87%"
"2023- 01- 12","173,000","174,500","177,000","171,500","166.60K","-0.86%"
"2023- 01- 11","174,500","172,000","176,000","167,000","199.86K","2.35%"
"2023- 01- 10","170,500","173,500","175,000","169,500","178.41K","-1.73%"
"2023- 01- 09","173,500","170,500","176,500","170,500","0.11K","3.27%"
"2023- 01- 08","168,000","168,000","168,000","168,000","","0.00%"
"2023- 01- 06","168,000","170,000","172,000","160,500","492.71K","-2.33%"
"2023- 01- 05","172,000","172,000","177,000","171,000","171.82K","0.29%"
"2023- 01- 04","171,500","176,500","177,000","169,000","250.02K","-2.83%"
"2023- 01- 03","176,500","170,000","182,000","170,000","522.01K","4.13%"
"2023- 01- 02","169,500","173,500","175,500","166,500","0.15K","-2.31%"
"2022- 12- 29","173,500","168,000","175,500","168,000","193.76K","2.06%"
"2022- 12- 28","170,000","169,500","171,500","166,500","0.01K","-0.29%"
"2022- 12- 27","170,500","173,000","175,000","168,000","201.51K","-0.58%"
"2022- 12- 26","171,500","173,500","174,500","169,000","0.03K","-2.00%"
"2022- 12- 25","175,000","175,000","175,000","175,000","","0.00%"
"2022- 12- 23","175,000","173,000","179,500","172,500","281.93K","0.00%"
"2022- 12- 22","175,000","169,500","177,000","169,000","340.31K","3.55%"
"2022- 12- 21","169,000","164,500","169,000","160,500","0.05K","4.00%"
"2022- 12- 20","162,500","167,000","168,500","161,000","166.18K","-2.69%"
"2022- 12- 19","167,000","164,000","168,500","162,000","0.09K","1.83%"
"2022- 12- 18","164,000","164,000","164,000","164,000","","0.00%"
"2022- 12- 16","164,000","153,500","166,500","153,000","318.50K","4.13%"
"2022- 12- 15","157,500","161,500","165,000","155,500","0.01K","-3.37%"
"2022- 12- 14","163,000","156,500","164,500","156,500","0.06K","4.82%"
"2022- 12- 13","155,500","157,500","159,000","154,500","179.20K","-0.96%"
"2022- 12- 12","157,000","154,500","162,000","154,000","0.01K","0.32%"
"2022- 12- 11","156,500","156,500","156,500","156,500","","0.00%"
"2022- 12- 09","156,500","147,500","158,500","147,000","402.17K","7.93%"
"2022- 12- 08","145,000","145,500","147,500","141,500","128.11K","0.00%"
"2022- 12- 07","145,000","144,000","149,000","143,000","0.00K","0.00%"
"2022- 12- 06","145,000","150,500","150,500","145,000","165.92K","-4.61%"
"2022- 12- 05","152,000","151,500","155,500","150,500","172.30K","0.66%"
"2022- 12- 02","151,000","153,500","154,000","150,000","151.89K","-1.63%"
"2022- 12- 01","153,500","147,000","156,000","145,500","393.14K","7.34%"
"2022- 11- 30","143,000","143,500","144,500","140,500","124.89K","-0.69%"
"2022- 11- 29","144,000","137,000","146,000","137,000","168.36K","4.35%"
"2022- 11- 28","138,000","139,000","140,000","135,500","113.29K","-0.72%"
"2022- 11- 25","139,000","142,000","144,000","138,500","137.29K","-2.80%"
"2022- 11- 24","143,000","142,000","144,000","139,000","134.73K","1.42%"
"2022- 11- 23","141,000","135,000","143,500","134,500","201.45K","6.82%"
"2022- 11- 22","132,000","136,500","138,500","131,500","108.13K","-4.00%"
"2022- 11- 21","137,500","139,500","143,000","135,500","166.35K","0.36%"
"2022- 11- 18","137,000","143,000","146,000","137,000","145.47K","-4.20%"
"2022- 11- 17","143,000","140,000","147,000","140,000","209.46K","1.78%"
"2022- 11- 16","140,500","140,000","142,500","138,000","162.85K","1.81%"
"2022- 11- 15","138,000","134,500","139,000","134,500","104.95K","1.85%"
"2022- 11- 14","135,500","139,500","141,000","135,000","185.46K","-3.90%"
"2022- 11- 11","141,000","133,500","144,000","133,000","412.09K","11.46%"
"2022- 11- 10","126,500","126,000","130,000","126,000","160.97K","-3.07%"
"2022- 11- 09","130,500","131,000","133,000","129,500","167.11K","0.77%"
"2022- 11- 08","129,500","125,500","129,500","123,500","173.67K","4.86%"
"2022- 11- 07","123,500","121,500","125,500","121,500","73.22K","0.82%"
"2022- 11- 06","122,500","122,500","122,500","122,500","","0.00%"
"2022- 11- 04","122,500","122,500","124,000","119,500","162.64K","-1.61%"
"2022- 11- 03","124,500","123,500","129,000","120,500","275.54K","-1.97%"
"2022- 11- 02","127,000","121,000","129,000","119,500","201.21K","4.10%"
"2022- 11- 01","122,000","121,000","124,000","120,000","140.47K","0.83%"
"2022- 10- 31","121,000","121,500","123,000","118,500","146.96K","1.68%"
"2022- 10- 30","119,000","119,000","119,000","119,000","","0.00%"
"2022- 10- 28","119,000","119,000","123,500","118,000","158.11K","0.00%"
"2022- 10- 27","119,000","117,000","121,000","116,500","146.66K","3.48%"
"2022- 10- 26","115,000","118,000","119,500","115,000","119.53K","-2.54%"
"2022- 10- 25","118,000","114,500","119,000","113,500","179.24K","4.42%"
"2022- 10- 24","113,000","114,500","116,500","112,500","152.30K","0.44%"
"2022- 10- 23","112,500","112,500","112,500","112,500","","0.00%"
"2022- 10- 21","112,500","111,000","113,000","108,500","215.91K","-0.44%"
"2022- 10- 20","113,000","118,500","119,000","111,500","308.71K","-4.64%"
"2022- 10- 19","118,500","121,500","125,000","118,000","237.11K","-1.66%"
"2022- 10- 18","120,500","116,500","124,000","115,500","559.11K","4.78%"
"2022- 10- 17","115,000","113,500","117,000","109,500","338.00K","-2.54%"
