"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 16","69,800","71,100","71,200","68,500","646.62K","-2.65%"
"2023- 03- 15","71,700","72,400","72,700","70,700","495.31K","0.28%"
"2023- 03- 14","71,500","72,100","72,800","71,100","561.31K","0.56%"
"2023- 03- 13","71,100","74,900","75,200","70,500","0.05K","-8.49%"
"2023- 03- 12","77,700","77,700","77,700","77,700","","0.00%"
"2023- 03- 10","77,700","77,800","79,800","77,200","279.94K","-1.02%"
"2023- 03- 09","78,500","79,700","79,700","77,600","0.00K","-1.88%"
"2023- 03- 08","80,000","78,700","81,300","78,100","611.37K","2.70%"
"2023- 03- 07","77,900","77,600","80,000","77,000","546.87K","1.56%"
"2023- 03- 06","76,700","77,200","77,800","75,200","494.77K","-1.03%"
"2023- 03- 05","77,500","77,500","77,500","77,500","","0.00%"
"2023- 03- 03","77,500","77,900","78,000","75,700","332.42K","0.00%"
"2023- 03- 02","77,500","78,600","79,000","77,000","0.02K","-1.52%"
"2023- 03- 01","78,700","78,700","78,700","78,700","","0.00%"
"2023- 02- 28","78,700","76,600","79,500","76,000","438.96K","3.42%"
"2023- 02- 27","76,100","75,300","76,800","74,900","232.61K","0.26%"
"2023- 02- 26","75,900","75,900","75,900","75,900","","0.00%"
"2023- 02- 24","75,900","76,400","76,700","75,000","269.98K","-0.52%"
"2023- 02- 23","76,300","76,000","76,500","73,700","468.34K","0.39%"
"2023- 02- 22","76,000","74,100","77,600","73,600","1.00M","4.11%"
"2023- 02- 21","73,000","74,000","74,400","72,300","195.20K","-1.35%"
"2023- 02- 20","74,000","71,800","74,900","71,800","515.47K","3.06%"
"2023- 02- 19","71,800","71,800","71,800","71,800","","0.00%"
"2023- 02- 17","71,800","71,300","72,100","70,500","407.30K","-0.69%"
"2023- 02- 16","72,300","71,800","72,500","71,400","340.86K","0.84%"
"2023- 02- 15","71,700","73,600","73,700","71,100","442.57K","-2.05%"
"2023- 02- 14","73,200","73,200","73,200","71,700","0.01K","0.55%"
"2023- 02- 13","72,800","73,300","74,800","72,600","280.10K","-0.68%"
"2023- 02- 12","73,300","73,300","73,300","73,300","","0.00%"
"2023- 02- 10","73,300","74,100","75,600","72,600","658.81K","0.96%"
"2023- 02- 09","72,600","72,700","74,000","71,600","421.20K","0.00%"
"2023- 02- 08","72,600","72,400","73,400","71,700","316.07K","1.11%"
"2023- 02- 07","71,800","71,800","73,300","70,900","338.43K","0.56%"
"2023- 02- 06","71,400","72,800","73,100","71,100","272.90K","-1.92%"
"2023- 02- 05","72,800","72,800","72,800","72,800","","0.00%"
"2023- 02- 03","72,800","72,300","73,500","71,400","319.35K","0.97%"
"2023- 02- 02","72,100","72,600","73,100","70,800","264.09K","0.00%"
"2023- 02- 01","72,100","72,800","73,000","71,500","209.61K","-0.55%"
"2023- 01- 31","72,500","70,500","73,000","70,100","0.03K","2.84%"
"2023- 01- 30","70,500","71,300","71,800","70,100","215.47K","-0.84%"
"2023- 01- 29","71,100","71,100","71,100","71,100","","0.00%"
"2023- 01- 27","71,100","69,000","71,500","68,800","492.13K","3.64%"
"2023- 01- 26","68,600","67,600","69,600","66,800","436.43K","1.63%"
"2023- 01- 25","67,500","67,400","68,200","66,800","0.00K","0.90%"
"2023- 01- 20","66,900","67,100","67,600","65,700","272.61K","0.00%"
"2023- 01- 19","66,900","64,600","67,400","64,400","0.05K","3.24%"
"2023- 01- 18","64,800","64,200","65,200","63,800","354.20K","1.41%"
"2023- 01- 17","63,900","64,000","64,800","63,200","329.14K","0.16%"
"2023- 01- 16","63,800","64,100","64,300","63,400","0.98K","-0.16%"
"2023- 01- 15","63,900","63,900","63,900","63,900","","0.00%"
"2023- 01- 13","63,900","66,000","66,600","63,600","525.41K","-3.18%"
"2023- 01- 12","66,000","65,900","66,700","64,700","0.00K","0.92%"
"2023- 01- 11","65,400","64,300","65,700","64,000","296.89K","2.51%"
"2023- 01- 10","63,800","65,500","65,700","63,700","0.11K","-2.74%"
"2023- 01- 09","65,600","63,500","65,800","63,500","0.09K","3.96%"
"2023- 01- 08","63,100","63,100","63,100","63,100","","0.00%"
"2023- 01- 06","63,100","64,500","64,500","62,200","481.97K","-2.32%"
"2023- 01- 05","64,600","65,100","65,800","63,200","389.68K","-0.77%"
"2023- 01- 04","65,100","67,500","67,600","64,600","713.44K","-4.26%"
"2023- 01- 03","68,000","66,900","69,400","66,500","507.02K","1.19%"
"2023- 01- 02","67,200","67,800","68,200","64,300","466.13K","-0.88%"
"2022- 12- 29","67,800","66,500","67,900","66,200","360.56K","1.35%"
"2022- 12- 28","66,900","67,700","68,000","65,700","0.00K","-1.91%"
"2022- 12- 27","68,200","67,400","68,200","67,100","0.01K","1.34%"
"2022- 12- 26","67,300","67,400","67,800","66,600","467.61K","0.60%"
"2022- 12- 23","66,900","66,100","67,500","66,000","345.84K","-1.47%"
"2022- 12- 22","67,900","66,900","68,100","65,800","232.48K","2.57%"
"2022- 12- 21","66,200","67,200","67,200","64,500","245.37K","-0.15%"
"2022- 12- 20","66,300","67,200","68,200","66,200","262.42K","-1.78%"
"2022- 12- 19","67,500","65,200","67,700","65,200","0.02K","3.53%"
"2022- 12- 18","65,200","65,200","65,200","65,200","","0.00%"
"2022- 12- 16","65,200","63,200","65,700","63,200","252.82K","1.56%"
"2022- 12- 15","64,200","64,700","66,100","64,100","0.01K","-1.68%"
"2022- 12- 14","65,300","63,900","65,500","63,700","260.78K","2.35%"
"2022- 12- 13","63,800","65,700","65,700","63,400","0.02K","-2.00%"
"2022- 12- 12","65,100","65,200","67,800","65,100","425.23K","0.15%"
"2022- 12- 11","65,000","65,000","65,000","65,000","","0.00%"
"2022- 12- 09","65,000","64,000","65,800","64,000","358.06K","2.52%"
"2022- 12- 08","63,400","63,300","64,100","62,400","0.21K","0.16%"
"2022- 12- 07","63,300","63,300","64,200","62,700","284.81K","-0.78%"
"2022- 12- 06","63,800","64,200","64,500","62,800","262.39K","-0.62%"
"2022- 12- 05","64,200","64,500","65,900","64,200","0.00K","-0.47%"
"2022- 12- 04","64,500","64,500","64,500","64,500","","0.00%"
"2022- 12- 02","64,500","64,200","65,100","63,400","281.01K","-0.15%"
"2022- 12- 01","64,600","61,500","65,400","61,400","844.61K","6.60%"
"2022- 11- 30","60,600","61,200","61,600","59,900","190.55K","-0.98%"
"2022- 11- 29","61,200","59,600","61,700","59,500","221.59K","1.49%"
"2022- 11- 28","60,300","61,400","61,600","58,800","357.57K","-2.11%"
"2022- 11- 25","61,600","61,900","62,600","60,800","185.52K","-0.16%"
"2022- 11- 24","61,700","61,000","62,000","60,600","243.57K","0.82%"
"2022- 11- 23","61,200","60,100","61,700","60,000","405.70K","3.55%"
"2022- 11- 22","59,100","59,000","60,400","57,900","282.05K","-0.51%"
"2022- 11- 21","59,400","59,600","60,300","58,800","292.22K","-0.17%"
"2022- 11- 18","59,500","61,500","61,600","59,400","388.65K","-3.25%"
"2022- 11- 17","61,500","59,900","62,200","59,900","424.15K","1.99%"
"2022- 11- 16","60,300","58,700","60,400","58,300","524.97K","3.61%"
"2022- 11- 15","58,200","57,900","59,600","57,400","672.01K","2.46%"
"2022- 11- 14","56,800","56,500","56,900","54,900","505.11K","0.00%"
"2022- 11- 11","56,800","57,800","58,400","55,500","538.68K","1.43%"
"2022- 11- 10","56,000","54,800","56,500","54,700","0.00K","1.27%"
"2022- 11- 09","55,300","55,300","56,900","54,900","359.89K","0.91%"
"2022- 11- 08","54,800","53,400","55,500","53,400","447.14K","3.01%"
"2022- 11- 07","53,200","53,200","54,000","52,700","216.89K","0.38%"
"2022- 11- 06","53,000","53,000","53,000","53,000","","0.00%"
"2022- 11- 04","53,000","52,600","53,200","51,600","294.76K","0.19%"
"2022- 11- 03","52,900","54,500","54,700","52,800","0.02K","-4.68%"
"2022- 11- 02","55,500","55,400","56,400","54,400","228.77K","0.00%"
"2022- 11- 01","55,500","55,800","56,900","54,500","231.33K","0.00%"
"2022- 10- 31","55,500","55,300","55,800","53,000","243.56K","1.28%"
"2022- 10- 30","54,800","54,800","54,800","54,800","","0.00%"
"2022- 10- 28","54,800","54,900","55,700","54,500","125.83K","-1.08%"
"2022- 10- 27","55,400","54,600","56,000","54,600","0.01K","2.40%"
"2022- 10- 26","54,100","54,600","55,000","54,000","0.02K","-2.17%"
"2022- 10- 25","55,300","54,500","56,100","53,800","284.32K","1.84%"
"2022- 10- 24","54,300","52,800","54,800","52,600","416.74K","4.83%"
"2022- 10- 21","51,800","52,300","52,900","51,200","300.36K","-2.08%"
"2022- 10- 20","52,900","55,100","55,300","51,700","606.51K","-3.99%"
"2022- 10- 19","55,100","57,300","57,800","55,100","257.37K","-2.99%"
"2022- 10- 18","56,800","58,500","58,500","55,800","0.19K","-1.05%"
"2022- 10- 17","57,400","57,100","58,200","56,100","0.03K","0.70%"
"2022- 10- 16","57,000","57,000","57,000","57,000","","0.00%"
"2022- 10- 14","57,000","56,700","58,000","56,100","298.60K","4.40%"
"2022- 10- 13","54,600","56,000","57,800","54,500","398.44K","-3.36%"
"2022- 10- 12","56,500","52,800","56,600","52,800","402.87K","6.00%"
"2022- 10- 11","53,300","54,600","54,600","52,100","0.00K","-4.31%"
"2022- 10- 10","55,700","55,700","55,700","55,700","","0.00%"
"2022- 10- 07","55,700","56,900","57,200","54,900","339.23K","-1.76%"
"2022- 10- 06","56,700","57,500","57,600","55,900","0.05K","-0.70%"
"2022- 10- 05","57,100","59,900","60,200","56,800","345.90K","-4.19%"
"2022- 10- 04","59,600","59,700","60,100","58,500","309.27K","1.36%"
"2022- 10- 03","58,800","58,800","58,800","58,800","","0.00%"
"2022- 09- 30","58,800","57,500","59,300","57,300","305.21K","1.20%"
"2022- 09- 29","58,100","56,100","59,000","55,900","0.10K","6.22%"
"2022- 09- 28","54,700","58,000","58,200","54,000","449.71K","-6.34%"
"2022- 09- 27","58,400","57,700","58,400","56,100","287.85K","2.28%"
"2022- 09- 26","57,100","58,600","59,500","56,700","400.27K","-4.52%"
"2022- 09- 25","59,800","59,800","59,800","59,800","","0.00%"
"2022- 09- 23","59,800","60,400","61,500","59,100","369.54K","-0.99%"
"2022- 09- 22","60,400","61,900","61,900","58,800","0.13K","-3.21%"
"2022- 09- 21","62,400","61,800","62,700","61,600","229.21K","0.16%"
"2022- 09- 20","62,300","61,600","62,600","61,300","230.79K","1.63%"
"2022- 09- 19","61,300","61,700","63,500","61,000","475.05K","-0.65%"
"2022- 09- 18","61,700","61,700","61,700","61,700","","0.00%"
"2022- 09- 16","61,700","61,700","62,500","60,500","476.24K","0.16%"
"2022- 09- 15","61,600","61,600","62,700","61,000","256.59K","0.82%"
"2022- 09- 14","61,100","61,200","62,100","60,300","406.16K","-3.02%"
"2022- 09- 13","63,000","64,000","64,500","62,400","322.45K","0.00%"
"2022- 09- 12","63,000","63,000","63,000","63,000","","0.00%"
"2022- 09- 08","63,000","62,300","63,400","61,700","543.15K","2.27%"
"2022- 09- 07","61,600","61,800","62,700","61,200","322.94K","0.16%"
"2022- 09- 06","61,500","61,900","62,000","60,100","243.29K","0.16%"
"2022- 09- 05","61,400","60,900","62,600","60,800","266.09K","0.82%"
"2022- 09- 04","60,900","60,900","60,900","60,900","","0.00%"
"2022- 09- 02","60,900","60,200","62,100","59,600","413.34K","2.18%"
"2022- 09- 01","59,600","60,400","60,500","59,500","232.67K","-2.45%"
"2022- 08- 31","61,100","59,400","61,100","59,400","215.75K","1.33%"
"2022- 08- 30","60,300","59,300","60,400","58,700","265.16K","2.38%"
"2022- 08- 29","58,900","58,400","59,300","58,000","400.39K","-2.97%"
"2022- 08- 28","60,700","60,700","60,700","60,700","","0.00%"
"2022- 08- 26","60,700","61,800","62,200","60,300","312.26K","-1.62%"
"2022- 08- 25","61,700","60,800","62,900","60,500","538.68K","2.15%"
"2022- 08- 24","60,400","58,900","60,500","58,700","335.65K","3.42%"
"2022- 08- 23","58,400","59,000","59,600","57,800","294.66K","-1.35%"
"2022- 08- 22","59,200","59,200","60,500","58,900","298.80K","-1.33%"
"2022- 08- 21","60,000","60,000","60,000","60,000","","0.00%"
"2022- 08- 19","60,000","61,100","62,700","60,000","424.14K","-1.64%"
"2022- 08- 18","61,000","59,800","61,300","59,100","495.00K","2.87%"
"2022- 08- 17","59,300","60,600","61,600","58,500","664.84K","-3.10%"
"2022- 08- 16","61,200","59,500","61,700","58,300","564.17K","3.73%"
"2022- 08- 12","59,000","59,500","59,500","58,400","205.91K","-0.17%"
"2022- 08- 11","59,100","57,800","59,500","57,100","439.58K","4.05%"
"2022- 08- 10","56,800","59,000","59,700","56,700","444.05K","-4.05%"
"2022- 08- 09","59,200","57,700","60,800","57,400","607.02K","3.14%"
"2022- 08- 08","57,400","56,800","57,900","56,100","251.06K","0.70%"
"2022- 08- 07","57,000","57,000","57,000","57,000","","0.00%"
"2022- 08- 05","57,000","57,700","57,700","55,900","244.17K","-0.52%"
"2022- 08- 04","57,300","58,200","58,600","56,700","327.10K","-1.04%"
"2022- 08- 03","57,900","55,400","58,000","55,300","473.95K","4.51%"
