"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 16","111,600","112,200","113,900","111,300","961.00K","-1.59%"
"2023- 03- 15","113,400","114,600","116,300","113,400","0.32K","-1.56%"
"2023- 03- 14","115,200","114,400","118,000","112,500","2.45M","1.86%"
"2023- 03- 13","113,100","134,300","134,300","111,500","0.77K","-23.48%"
"2023- 03- 12","147,800","147,800","147,800","147,800","","0.00%"
"2023- 03- 10","147,800","152,000","154,000","146,000","3.53M","-4.58%"
"2023- 03- 09","154,900","157,000","157,000","153,000","0.21K","-2.27%"
"2023- 03- 08","158,500","154,100","161,200","150,600","2.55M","5.88%"
"2023- 03- 07","149,700","147,200","149,700","146,500","3.59M","15.07%"
"2023- 03- 06","130,100","125,300","134,900","124,700","2.40M","0.70%"
"2023- 03- 05","129,200","129,200","129,200","129,200","","0.00%"
"2023- 03- 03","129,200","127,400","131,000","124,500","1.03M","0.94%"
"2023- 03- 02","128,000","125,500","130,900","125,300","0.65K","0.31%"
"2023- 03- 01","127,600","127,600","127,600","127,600","","0.00%"
"2023- 02- 28","127,600","121,200","128,000","118,700","3.45M","6.07%"
"2023- 02- 27","120,300","122,000","127,100","119,300","2.07M","-0.58%"
"2023- 02- 26","121,000","121,000","121,000","121,000","","0.00%"
"2023- 02- 24","121,000","126,000","126,000","120,700","1.61M","-4.20%"
"2023- 02- 23","126,300","122,500","127,300","120,600","1.82M","4.29%"
"2023- 02- 22","121,100","123,400","125,800","120,100","1.15M","-1.94%"
"2023- 02- 21","123,500","124,400","125,500","122,000","1.05M","1.40%"
"2023- 02- 20","121,800","125,000","125,500","121,700","1.66M","-6.38%"
"2023- 02- 19","130,100","130,100","130,100","130,100","","0.00%"
"2023- 02- 17","130,100","132,300","132,900","126,000","1.99M","-1.36%"
"2023- 02- 16","131,900","124,900","133,600","120,700","4.32M","7.59%"
"2023- 02- 15","122,600","118,700","127,900","117,600","4.47M","4.97%"
"2023- 02- 14","116,800","116,800","118,900","116,200","0.18K","0.69%"
"2023- 02- 13","116,000","115,000","118,300","114,500","3.25M","1.13%"
"2023- 02- 12","114,700","114,700","114,700","114,700","","0.00%"
"2023- 02- 10","114,700","115,200","117,000","107,300","8.77M","16.45%"
"2023- 02- 09","98,500","100,000","103,300","95,700","2.99M","-0.20%"
"2023- 02- 08","98,700","95,000","99,800","92,100","3.63M","9.54%"
"2023- 02- 07","90,100","93,000","99,700","85,700","3.80M","-2.28%"
"2023- 02- 06","92,200","90,500","93,900","89,600","645.65K","1.32%"
"2023- 02- 05","91,000","91,000","91,000","91,000","","0.00%"
"2023- 02- 03","91,000","89,900","95,900","88,100","2.36M","2.13%"
"2023- 02- 02","89,100","86,900","89,900","86,100","682.16K","2.77%"
"2023- 02- 01","86,700","87,700","88,000","86,100","409.81K","-1.48%"
"2023- 01- 31","88,000","84,200","88,500","83,500","0.04K","3.90%"
"2023- 01- 30","84,700","82,900","86,300","82,400","836.21K","2.67%"
"2023- 01- 29","82,500","82,500","82,500","82,500","","0.00%"
"2023- 01- 27","82,500","80,600","83,000","80,400","587.02K","2.74%"
"2023- 01- 26","80,300","80,800","81,700","79,500","503.22K","-0.37%"
"2023- 01- 25","80,600","84,300","84,300","80,100","0.32K","-3.01%"
"2023- 01- 24","83,100","83,100","83,100","83,100","","0.00%"
"2023- 01- 20","83,100","77,000","84,500","76,500","1.77M","8.20%"
"2023- 01- 19","76,800","73,700","77,000","73,500","0.22K","3.64%"
"2023- 01- 18","74,100","73,500","74,400","72,900","274.51K","0.95%"
"2023- 01- 17","73,400","74,200","74,800","73,000","319.71K","-1.48%"
"2023- 01- 16","74,500","76,200","76,200","74,200","0.17K","-1.32%"
