"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 03- 16","51,900","52,200","52,800","51,300","274.29K","-1.70%"
"2023- 03- 15","52,800","54,200","54,600","52,100","441.79K","-0.75%"
"2023- 03- 14","53,200","55,000","55,000","52,800","420.75K","-2.56%"
"2023- 03- 13","54,600","56,200","56,400","53,500","0.03K","-5.04%"
"2023- 03- 12","57,500","57,500","57,500","57,500","","0.00%"
"2023- 03- 10","57,500","57,500","59,500","57,200","338.29K","-1.54%"
"2023- 03- 09","58,400","60,400","60,400","57,900","423.59K","-3.15%"
"2023- 03- 08","60,300","59,900","62,400","59,800","734.89K","1.34%"
"2023- 03- 07","59,500","58,300","60,700","57,600","925.41K","4.02%"
"2023- 03- 06","57,200","56,800","58,000","56,000","371.32K","0.18%"
"2023- 03- 05","57,100","57,100","57,100","57,100","","0.00%"
"2023- 03- 03","57,100","57,700","58,700","56,200","359.79K","-0.70%"
"2023- 03- 02","57,500","58,000","58,900","57,400","0.10K","-0.86%"
"2023- 03- 01","58,000","58,000","58,000","58,000","","0.00%"
"2023- 02- 28","58,000","54,200","58,100","53,900","1.01M","7.61%"
"2023- 02- 27","53,900","53,100","54,600","52,800","293.25K","1.51%"
"2023- 02- 26","53,100","53,100","53,100","53,100","","0.00%"
"2023- 02- 24","53,100","54,300","54,500","52,700","349.66K","-3.10%"
"2023- 02- 23","54,800","54,800","55,000","53,700","340.19K","0.55%"
"2023- 02- 22","54,500","53,000","55,300","53,000","0.01K","1.11%"
"2023- 02- 21","53,900","52,800","54,200","52,000","339.63K","1.32%"
"2023- 02- 20","53,200","51,200","53,400","50,800","447.71K","4.72%"
"2023- 02- 19","50,800","50,800","50,800","50,800","","0.00%"
"2023- 02- 17","50,800","51,800","52,300","50,500","276.92K","-3.79%"
"2023- 02- 16","52,800","51,100","52,800","51,000","0.05K","4.35%"
"2023- 02- 15","50,600","52,400","52,600","50,300","392.37K","-3.25%"
"2023- 02- 14","52,300","52,300","52,700","51,400","0.34K","0.58%"
"2023- 02- 13","52,000","52,900","53,800","51,800","296.98K","-1.14%"
"2023- 02- 10","52,600","54,100","55,000","52,500","823.85K","-1.13%"
"2023- 02- 09","53,200","53,300","54,000","52,700","315.19K","-0.19%"
"2023- 02- 08","53,300","52,700","53,700","52,200","441.30K","2.11%"
"2023- 02- 07","52,200","52,400","53,000","51,700","298.04K","0.00%"
"2023- 02- 06","52,200","52,800","53,200","52,000","249.10K","-1.14%"
"2023- 02- 05","52,800","52,800","52,800","52,800","","0.00%"
"2023- 02- 03","52,800","51,900","53,400","51,600","513.69K","2.13%"
"2023- 02- 02","51,700","52,300","52,900","51,200","372.26K","-0.58%"
"2023- 02- 01","52,000","52,000","52,400","51,400","0.20K","0.19%"
"2023- 01- 31","51,900","50,100","52,300","50,000","380.75K","2.17%"
"2023- 01- 30","50,800","51,400","51,900","50,600","293.01K","-1.36%"
"2023- 01- 27","51,500","50,700","51,900","50,600","319.54K","1.18%"
"2023- 01- 26","50,900","51,100","51,900","50,400","401.41K","-0.20%"
"2023- 01- 25","51,000","52,100","52,100","50,200","0.00K","-1.73%"
"2023- 01- 24","51,900","51,900","51,900","51,900","","0.00%"
"2023- 01- 20","51,900","52,300","52,900","51,100","500.62K","-1.33%"
"2023- 01- 19","52,600","49,900","52,700","49,500","914.29K","5.94%"
"2023- 01- 18","49,650","48,150","49,650","48,150","0.92K","3.22%"
"2023- 01- 17","48,100","48,650","49,250","48,000","192.10K","-0.52%"
"2023- 01- 16","48,350","49,100","49,500","48,100","326.54K","-1.43%"
"2023- 01- 13","49,050","48,650","49,150","47,650","370.19K","0.82%"
"2023- 01- 12","48,650","48,550","49,500","48,050","428.19K","1.57%"
"2023- 01- 11","47,900","47,200","48,150","47,000","276.52K","1.91%"
"2023- 01- 10","47,000","48,650","48,750","46,850","0.03K","-3.69%"
"2023- 01- 09","48,800","50,000","50,500","48,400","0.11K","-1.61%"
"2023- 01- 06","49,600","48,700","49,900","46,950","578.23K","1.02%"
"2023- 01- 05","49,100","49,250","50,000","48,300","0.11K","0.61%"
"2023- 01- 04","48,800","49,800","50,000","48,350","503.26K","-1.41%"
"2023- 01- 03","49,500","47,500","50,800","47,500","1.17M","3.02%"
"2023- 01- 02","48,050","43,850","48,800","43,850","0.02K","9.58%"
"2022- 12- 29","43,850","42,450","44,250","42,450","313.37K","2.45%"
"2022- 12- 28","42,800","45,000","45,000","42,550","0.00K","-4.89%"
"2022- 12- 27","45,000","45,250","45,850","44,800","306.65K","-0.77%"
"2022- 12- 26","45,350","46,150","46,200","45,150","0.38K","-1.52%"
"2022- 12- 25","46,050","46,050","46,050","46,050","","0.00%"
"2022- 12- 23","46,050","46,950","47,350","46,000","396.31K","-3.56%"
"2022- 12- 22","47,750","45,000","48,000","44,350","801.16K","7.06%"
"2022- 12- 21","44,600","44,950","45,250","44,200","224.33K","0.79%"
"2022- 12- 20","44,250","46,450","46,900","44,050","403.61K","-5.55%"
"2022- 12- 19","46,850","45,300","46,900","45,300","380.31K","3.42%"
"2022- 12- 18","45,300","45,300","45,300","45,300","","0.00%"
"2022- 12- 16","45,300","43,100","45,600","43,050","282.07K","2.84%"
"2022- 12- 15","44,050","45,300","45,500","43,950","227.79K","-2.76%"
"2022- 12- 14","45,300","44,350","45,600","44,000","0.95K","2.37%"
"2022- 12- 13","44,250","45,500","45,600","43,700","260.45K","-1.45%"
"2022- 12- 12","44,900","45,450","46,550","44,900","0.01K","-0.66%"
"2022- 12- 11","45,200","45,200","45,200","45,200","","0.00%"
"2022- 12- 09","45,200","44,400","45,750","44,350","340.52K","2.84%"
"2022- 12- 08","43,950","44,450","44,550","43,600","159.70K","-0.68%"
"2022- 12- 07","44,250","43,100","44,600","43,000","205.47K","1.37%"
"2022- 12- 06","43,650","44,900","44,900","43,550","0.05K","-3.75%"
"2022- 12- 05","45,350","45,000","46,250","45,000","253.01K","0.89%"
"2022- 12- 02","44,950","45,300","45,300","44,100","249.37K","-0.77%"
"2022- 12- 01","45,300","44,600","45,600","44,400","428.26K","3.19%"
"2022- 11- 30","43,900","44,900","45,100","43,700","328.29K","-2.23%"
"2022- 11- 29","44,900","42,250","44,900","42,250","0.34K","5.77%"
"2022- 11- 28","42,450","42,800","43,300","41,800","216.76K","-0.82%"
"2022- 11- 27","42,800","42,800","42,800","42,800","","0.00%"
"2022- 11- 25","42,800","42,700","43,150","42,300","189.69K","-0.23%"
"2022- 11- 24","42,900","41,250","42,900","41,250","0.02K","4.76%"
"2022- 11- 23","40,950","41,150","42,500","40,850","491.86K","1.61%"
"2022- 11- 22","40,300","40,250","40,550","39,450","277.65K","0.37%"
"2022- 11- 21","40,150","41,500","42,050","40,050","458.49K","-2.31%"
"2022- 11- 20","41,100","41,100","41,100","41,100","","0.00%"
"2022- 11- 18","41,100","42,450","42,550","41,100","339.28K","-2.61%"
"2022- 11- 17","42,200","42,900","44,300","42,200","425.65K","-2.54%"
"2022- 11- 16","43,300","42,000","43,350","41,450","492.56K","3.46%"
"2022- 11- 15","41,850","41,200","41,900","41,000","0.10K","2.07%"
"2022- 11- 14","41,000","42,800","42,800","40,650","0.09K","-4.21%"
"2022- 11- 13","42,800","42,800","42,800","42,800","","0.00%"
"2022- 11- 11","42,800","42,850","43,350","41,650","606.20K","3.76%"
"2022- 11- 10","41,250","41,300","42,100","40,900","199.73K","-0.84%"
"2022- 11- 09","41,600","42,500","43,150","41,450","255.70K","-2.12%"
"2022- 11- 08","42,500","41,800","43,100","41,750","240.45K","2.16%"
"2022- 11- 07","41,600","41,450","41,950","40,850","101.23K","0.36%"
"2022- 11- 06","41,450","41,450","41,450","41,450","","0.00%"
"2022- 11- 04","41,450","40,400","41,600","40,000","285.65K","0.73%"
"2022- 11- 03","41,150","41,500","41,850","40,450","291.74K","-2.60%"
"2022- 11- 02","42,250","42,000","42,500","41,350","174.15K","-0.24%"
"2022- 11- 01","42,350","42,800","43,400","41,550","181.76K","-0.94%"
"2022- 10- 31","42,750","43,150","43,150","41,200","222.62K","-0.23%"
"2022- 10- 30","42,850","42,850","42,850","42,850","","0.00%"
"2022- 10- 28","42,850","43,300","43,850","42,750","135.60K","-1.38%"
"2022- 10- 27","43,450","42,350","44,000","42,350","151.12K","2.12%"
"2022- 10- 26","42,550","43,400","43,600","42,500","0.31K","-1.96%"
"2022- 10- 25","43,400","43,500","44,350","43,000","152.79K","0.00%"
"2022- 10- 24","43,400","44,500","44,800","43,300","158.72K","-0.34%"
"2022- 10- 21","43,550","43,450","44,150","42,750","139.96K","0.11%"
"2022- 10- 20","43,500","44,000","44,500","43,000","163.31K","-1.25%"
"2022- 10- 19","44,050","45,700","45,900","44,000","246.92K","-3.08%"
"2022- 10- 18","45,450","46,300","46,800","45,000","200.10K","0.22%"
"2022- 10- 17","45,350","43,850","45,500","43,450","211.30K","0.78%"
"2022- 10- 14","45,000","43,500","45,400","43,450","335.92K","6.26%"
"2022- 10- 13","42,350","44,150","44,550","42,350","247.33K","-4.40%"
"2022- 10- 12","44,300","43,200","44,600","42,250","0.02K","2.90%"
"2022- 10- 11","43,050","44,200","44,200","42,150","367.89K","-4.86%"
"2022- 10- 10","45,250","45,250","45,250","45,250","","0.00%"
"2022- 10- 07","45,250","45,600","45,850","44,350","279.39K","-2.06%"
"2022- 10- 06","46,200","46,650","46,650","45,600","0.01K","0.43%"
"2022- 10- 05","46,000","49,650","49,700","45,900","464.26K","-6.50%"
"2022- 10- 04","49,200","49,100","49,600","48,250","313.85K","1.55%"
"2022- 10- 03","48,450","48,450","48,450","48,450","","0.00%"
"2022- 09- 30","48,450","46,150","48,800","46,150","434.43K","4.31%"
"2022- 09- 29","46,450","46,300","47,850","46,050","352.20K","2.77%"
"2022- 09- 28","45,200","49,250","49,300","45,050","617.60K","-8.41%"
"2022- 09- 27","49,350","47,550","51,200","47,400","691.52K","3.89%"
"2022- 09- 26","47,500","48,550","49,600","46,950","473.37K","-1.96%"
"2022- 09- 25","48,450","48,450","48,450","48,450","","0.00%"
"2022- 09- 23","48,450","49,850","50,800","48,300","339.69K","-3.68%"
"2022- 09- 22","50,300","50,400","50,400","49,050","0.11K","-1.76%"
"2022- 09- 21","51,200","51,500","52,200","50,100","395.10K","-1.35%"
"2022- 09- 20","51,900","53,000","53,500","51,700","299.07K","-1.14%"
"2022- 09- 19","52,500","53,700","54,700","52,000","392.26K","-1.69%"
"2022- 09- 18","53,400","53,400","53,400","53,400","","0.00%"
"2022- 09- 16","53,400","52,900","54,500","51,600","731.25K","2.50%"
"2022- 09- 15","52,100","54,000","54,300","51,600","0.01K","-3.16%"
"2022- 09- 14","53,800","54,900","55,200","52,300","679.49K","-5.61%"
"2022- 09- 13","57,000","58,200","58,600","56,900","0.01K","-0.35%"
"2022- 09- 08","57,200","56,800","58,300","56,400","330.36K","1.60%"
"2022- 09- 07","56,300","56,800","57,400","55,500","0.52K","-1.92%"
"2022- 09- 06","57,400","58,000","58,300","56,200","0.04K","0.00%"
"2022- 09- 05","57,400","58,400","59,200","56,900","273.23K","-1.71%"
"2022- 09- 04","58,400","58,400","58,400","58,400","","0.00%"
"2022- 09- 02","58,400","59,100","59,800","58,300","162.62K","-0.17%"
"2022- 09- 01","58,500","59,800","60,100","58,500","0.02K","-3.47%"
"2022- 08- 31","60,600","59,300","60,600","59,100","1.23K","0.83%"
"2022- 08- 30","60,100","58,300","60,200","57,700","0.07K","3.98%"
"2022- 08- 29","57,800","58,200","58,800","57,200","0.02K","-4.30%"
"2022- 08- 28","60,400","60,400","60,400","60,400","","0.00%"
"2022- 08- 26","60,400","60,900","61,900","59,800","352.49K","-1.15%"
"2022- 08- 25","61,100","58,500","61,800","58,500","0.00K","4.98%"
"2022- 08- 24","58,200","56,400","58,500","55,200","0.01K","3.93%"
"2022- 08- 23","56,000","58,800","58,900","55,700","519.87K","-5.25%"
